seller_state,seller_zip_code_prefix,geolocation_lat,geolocation_lng,total_reviews,avg_review_score,percentage_negative_reviews
SP,13311,-23.262942394092207,-47.31557122150695,460,5,0
SP,13339,-23.09211529017179,-47.200861290702917,1070,5,0
SP,13390,-22.842321876787761,-47.607053611387279,148,5,0
SP,13414,-22.69151895446721,-47.640952768102984,26,5,0
SP,13454,-22.740602295539144,-47.375820854716757,372,5,0
SP,13604,-22.336250191771832,-47.381166713111433,298,5,0
SP,13790,-21.710870954893334,-46.820835366574869,49,5,0
SP,13848,-22.339784114395183,-46.924309679539405,194,5,0
SP,13870,-21.973167687922782,-46.794594747496411,492,5,0
SP,13905,-22.710900736908858,-46.801395362759884,525,5,0
SP,13911,-22.701125328194543,-46.9882933269769,38,5,0
SP,14093,-21.177891257048426,-47.743374937091822,408,5,0
SP,14300,-20.8928320770059,-47.585039751459725,339,5,0
SP,14620,-20.716823599737289,-47.879535006808929,1848,5,0
SP,14750,-21.00987455542997,-48.219255640094126,155,5,0
SP,14790,-20.324990123571904,-48.320131288780836,275,5,0
SP,15093,-20.855380218943672,-49.410999511658048,62,5,0
SP,15190,-20.693537430599772,-50.042499092685667,65,5,0
SP,15505,-20.42276382509667,-49.966737537480071,276,5,0
SP,15800,-21.141358026695471,-48.975349377311282,507,5,0
SP,15810,-21.154142715098295,-48.971333540869644,164,5,0
SP,16021,-21.227537006658547,-50.455887032686469,114,5,0
SP,16072,-21.201786668449525,-50.458066746293952,252,5,0
SP,16208,-21.244883680727135,-50.322191953670881,1,5,0
SP,16250,-21.560184913176549,-50.445800319817657,225,5,0
SP,16300,-21.420719896489594,-50.076471190600408,242,5,0
SP,16480,-21.90997953797039,-49.896172250557179,19,5,0
SP,17230,-22.23455857964727,-48.721835002175304,80,5,0
SP,17380,-22.28215496803832,-48.125101559570268,888,5,0
SP,17505,-22.201858399386733,-49.968323182105031,59,5,0
SP,17511,-22.179141091683245,-49.956948121950383,184,5,0
SP,17520,-22.239089540413715,-49.925024041830781,56,5,0
SP,17606,-21.928465491539189,-50.525683571124965,108,5,0
SP,17700,-21.795711019289438,-50.879277765103,759,5,0
SP,18074,-23.453584506332753,-47.488513121454766,179,5,0
SP,18111,-23.534966496904076,-47.440266039002736,316,5,0
SP,18132,-23.517856678890755,-47.140000622420544,55,5,0
SP,18270,-23.349777166836894,-47.8473777434754,166,5,0
SP,18279,-23.333791304252223,-47.847459729333281,484,5,0
SP,18480,-23.705464946211745,-49.486363478017985,288,5,0
SP,18701,-23.103845020089441,-48.914191476852572,101,5,0
SP,19010,-22.122735211776785,-51.386369334705016,121,5,0
SP,19400,-21.874288279503798,-51.8449696041087,1794,5,0
SP,22783,-22.984082408782111,-43.448890199194111,212,5,0
SP,28810,-22.751923494229857,-42.533556792599491,12,5,0
SP,29101,-20.34503019579623,-40.28790374199653,631,5,0
SP,36512,-21.1726252218232,-43.0219328222331,68,5,0
SP,80240,-25.448990860825592,-49.288609857292485,998,5,0
SP,86076,-23.286254246321679,-51.179282617539322,35,5,0
SP,87360,-24.185936255296784,-53.0256286041775,141,5,0
SP,88790,-28.475728576009722,-48.784659261030505,1230,5,0
SP,89803,-27.095439895824754,-52.632071202754624,206,5,0
SP,95055,-29.151061685503208,-51.142925156171479,42,5,0
SP,95076,-29.178216467446859,-51.148684386139081,128,5,0
SP,7600,-23.329721686232094,-46.597122159647981,12914,4.05,4.55
MG,31573,-19.810952280668246,-43.989986504246382,9900,4.3,4.55
SP,3068,-23.536697990905004,-46.568090013447112,968,4.36,4.55
SP,3725,-23.499937905397822,-46.518586861664836,638,4.41,4.55
SC,88372,-26.843431219270794,-48.634915665362065,4686,4.42,4.55
BA,46430,-14.223207197286886,-42.783397700034719,6644,4.45,4.55
RJ,26551,-22.781707096310388,-43.42552236371597,2068,4.45,4.55
SP,19020,-22.11350735363586,-51.386455003530571,2244,4.45,4.55
SP,7140,-23.42996353626274,-46.497969729167927,3608,4.5,4.55
SP,4567,-23.613258022164974,-46.689953732301653,3696,4.61,4.55
